"","sim_value","kID"
"369",-1.35669247635137,5
"370",-1.4153631351987,5
"371",-1.37033452822343,5
"372",-1.23514504424909,5
"373",-1.31678961387074,5
"374",-1.19509573899946,5
"375",-1.2227966038298,5
"376",-1.29425038827625,5
"377",-1.30204225360086,5
"378",-1.33366572893566,5
"379",-1.18978815235527,5
"380",-1.26237328784669,5
"381",-1.22122055081889,5
"382",-1.22049205950872,5
"383",-1.23290918271085,5
"384",-1.398089138616,5
"385",-1.22876354743603,5
"386",-1.20738860902839,5
"387",-1.41582570930322,5
"388",-1.29625053311656,5
"389",-1.28432374624237,5
"390",-1.31471461607979,5
"391",-1.27516859963909,5
"392",-1.30859342662969,5
"393",-1.39300085315062,5
"394",-1.26073229531772,5
"395",-1.29893718112664,5
"396",-1.21653422303404,5
"397",-1.18276636007239,5
"398",-1.39548762764308,5
"399",-1.48431652576369,5
"400",-1.38979302624705,5
"401",-1.25193899042667,6
"402",-1.1982204243466,6
"403",-1.15715303752363,6
"404",-1.19101275428675,6
"405",-1.2701804011646,6
"406",-1.22037179513406,6
"407",-1.16939446324309,6
"408",-1.13771513128773,6
"409",-1.21200477022721,6
"410",-1.32411335454605,6
"411",-1.21661806901446,6
"412",-1.19546927293789,6
"413",-1.15879391777902,6
"414",-1.19339364530228,6
"415",-1.12171552036836,6
"416",-1.16744345855505,6
"417",-1.2128251691972,6
"418",-1.2495415274293,6
"419",-1.15763485243666,6
"420",-1.18993662857071,6
"421",-1.14148517527594,6
"422",-1.19363327999059,6
"423",-1.30510337876666,6
"424",-1.2987898572207,6
"425",-1.20819783151168,6
"426",-1.21831482502646,6
"427",-1.18240866642984,6
"428",-1.26814334866916,6
"429",-1.17889138361619,6
"430",-1.30038819550982,6
"431",-1.14578338666982,6
"432",-1.27283178104004,6
"433",-1.2134844878745,6
"434",-1.12418368685561,6
"435",-1.26183881004546,6
"436",-1.12930474893955,6
"437",-1.18320967156091,6
"438",-1.23076265326516,6
"439",-1.17302373957933,6
"440",-1.36362128660116,6
"441",-1.12865843844106,6
"442",-1.21118852344338,6
"443",-1.25407483425897,6
"444",-1.29136079510807,6
"445",-1.28323116537725,6
"446",-1.16024506542609,6
"447",-1.20127223075781,6
"448",-1.28106036806379,6
"449",-1.14763581303572,6
"450",-1.15862587391397,6
"451",-1.17677442303108,6
"452",-1.22428181016302,6
"453",-1.16174357387287,6
"454",-1.18435591819439,6
"455",-1.16330367482965,6
"456",-1.20098703703626,6
"457",-1.2300307217115,6
"458",-1.144547487969,6
"459",-1.18587388926707,6
"460",-1.15455424471314,6
"461",-1.18433097739508,6
"462",-1.21446598199137,6
"463",-1.17674665629134,6
"464",-1.13564726925618,6
"465",-1.1679735624241,6
"466",-1.18470854795043,6
"467",-1.2372279733063,6
"468",-1.14868096517569,6
"469",-1.15628367845006,6
"470",-1.24345255099435,6
"471",-1.13786514361846,6
"472",-1.14922475731586,6
"473",-1.21003744841326,6
"474",-1.20357501219552,6
"475",-1.17521979000799,6
"476",-1.21341461726892,6
"477",-1.12985063649949,6
"478",-1.18359701580031,6
"479",-1.14360507640817,6
"480",-1.23620621471987,6
"481",-1.20577663307282,6
"482",-1.15470239540228,6
"483",-1.36596189018308,6
"484",-1.12987133265059,6
"485",-1.19905724763002,6
"486",-1.29145494739285,6
"487",-1.19268632207644,6
"488",-1.18285122638252,6
"489",-1.13483572678355,6
"490",-1.15709261053501,6
"491",-1.18732997835577,6
"492",-1.13695724948271,6
"493",-1.17552780687227,6
"494",-1.18720669025533,6
"495",-1.1873328126447,6
"496",-1.1241808589297,6
"497",-1.2112263234092,6
"498",-1.21770331376789,6
"499",-1.31239902151218,6
"500",-1.13025668123626,6
"501",-1.16610318004086,7
"502",-1.16264624271209,7
"503",-1.1230731995828,7
"504",-1.23490177643497,7
"505",-1.21913915031146,7
"506",-1.17557883948367,7
"507",-1.13705571216429,7
"508",-1.15117283965641,7
"509",-1.13869046668102,7
"510",-1.10823952469107,7
"511",-1.16637933930663,7
"512",-1.13491264161237,7
"513",-1.18468075190931,7
"514",-1.18908393774734,7
"515",-1.1924263892513,7
"516",-1.11071113300764,7
"517",-1.15032583974804,7
"518",-1.22193204122951,7
"519",-1.13089230938245,7
"520",-1.12733954948015,7
"521",-1.1730662749576,7
"522",-1.16623987972636,7
"523",-1.10342684767786,7
"524",-1.14767574120654,7
"525",-1.18367769537212,7
"526",-1.11342923026244,7
"527",-1.15774231342285,7
"528",-1.1479594424861,7
"529",-1.1976559620814,7
"530",-1.11038050789672,7
"531",-1.18196335549164,7
"532",-1.19221542979727,7
"533",-1.18478571896858,7
"534",-1.15702566162789,7
"535",-1.18147399279072,7
"536",-1.16326948993802,7
"537",-1.14984069334402,7
"538",-1.12524833983935,7
"539",-1.09677810944805,7
"540",-1.17767567685871,7
"541",-1.12067173055542,7
"542",-1.12067468398101,7
"543",-1.14574650998127,7
"544",-1.20422110305155,7
"545",-1.12178884322255,7
"546",-1.18315616799605,7
"547",-1.13181535657078,7
"548",-1.17544651366753,7
"549",-1.1125357887317,7
"550",-1.10429979313149,7
"551",-1.15708261933563,7
"552",-1.18528261312067,7
"553",-1.15495819807625,7
"554",-1.14482541684789,7
"555",-1.15522094083832,7
"556",-1.23503450216687,7
"557",-1.12268742926021,7
"558",-1.14061053751235,7
